sig,n_fafb,n_banc,n_mcns,max_count
82_80,1,1,1,1
69_12,1,1,1,1
60_85,1,1,1,1
54_139,1,1,1,1
38_94,1,1,1,1
77_108,1,1,1,1
10_82,1,1,1,1
57_1,1,1,1,1
65_94,1,1,1,1
54_105,1,1,1,1
3_52,1,1,1,1
73_70,1,1,1,1
108_30,1,1,1,1
78_113,1,1,1,1
82_79,1,1,1,1
132_63,1,1,1,1
124_26,1,1,1,1
113_28,1,1,1,1
46_79,1,1,1,1
98_68,1,1,1,1
83_83,1,1,1,1
62_117,1,1,1,1
115_56,1,1,1,1
79_93,1,1,1,1
88_111,1,1,1,1
51_120,1,1,1,1
0_68,1,1,1,1
60_126,1,1,1,1
89_78,1,1,1,1
111_57,1,1,1,1
138_61,1,1,1,1
82_90,1,1,1,1
111_58,1,1,1,1
54_93,1,1,1,1
108_69,1,1,1,1
104_56,1,1,1,1
68_114,1,1,1,1
5_92,1,1,1,1
122_51,1,1,1,1
103_33,1,1,1,1
52_101,1,1,1,1
116_65,1,1,1,1
66_123,1,1,1,1
82_20,1,1,1,1
109_62,1,1,1,1
71_12,1,1,1,1
104_43,1,1,1,1
73_86,1,1,1,1
2_61,1,1,1,1
86_73,1,1,1,1
64_85,1,1,1,1
36_80,1,1,1,1
89_68,1,1,1,1
92_27,1,1,1,1
78_114,1,1,1,1
80_118,1,1,1,1
133_52,1,1,1,1
114_69,1,1,1,1
107_82,1,1,1,1
106_28,1,1,1,1
127_57,1,1,1,1
90_101,1,1,1,1
125_42,1,1,1,1
14_73,1,1,1,1
73_19,1,1,1,1
132_59,1,1,1,1
86_20,1,1,1,1
67_26,2,1,1,2
69_27,2,2,2,2
107_30,1,2,2,2
12_87,1,1,2,2
99_49,2,1,1,2
85_25,2,2,2,2
69_100,2,1,2,2
96_25,2,2,2,2
90_89,2,2,1,2
103_81,2,1,1,2
15_70,2,2,2,2
97_84,2,1,2,2
91_87,2,1,1,2
88_85,2,1,1,2
61_71,2,2,1,2
94_43,2,2,1,2
53_9,1,2,1,2
97_92,2,1,1,2
102_38,1,1,2,2
89_76,1,1,2,2
47_8,1,2,2,2
91_27,1,1,2,2
72_16,1,2,1,2
40_93,2,1,2,2
109_58,2,2,2,2
110_87,2,1,1,2
89_25,2,1,1,2
91_73,2,2,1,2
79_75,1,2,2,2
132_60,2,1,2,2
4_48,2,2,2,2
100_63,1,2,1,2
98_26,2,1,2,2
71_90,1,1,2,2
88_26,2,1,2,2
74_25,2,1,2,2
85_79,2,2,1,2
12_89,2,1,1,2
40_79,2,1,2,2
63_79,2,2,2,2
90_24,2,1,1,2
67_89,2,1,2,2
93_30,2,1,1,2
3_59,2,1,2,2
20_86,2,1,2,2
107_59,1,1,2,2
43_5,2,2,2,2
98_77,2,1,2,2
0_42,2,1,1,2
129_40,1,1,2,2
51_78,2,2,2,2
51_102,2,1,1,2
69_79,1,2,2,2
40_5,2,1,2,2
106_60,1,1,2,2
29_85,2,1,2,2
96_66,2,1,1,2
67_80,1,1,2,2
102_80,2,1,2,2
76_81,2,1,1,2
83_22,1,2,1,2
124_72,2,1,1,2
62_80,1,2,1,2
38_62,2,1,2,2
98_53,2,2,1,2
71_96,2,1,2,2
100_54,2,1,2,2
89_63,1,2,2,2
65_71,2,2,2,2
118_82,1,1,2,2
75_82,1,2,2,2
60_77,2,1,2,2
96_44,2,2,2,2
41_85,2,2,1,2
59_14,2,2,2,2
88_96,2,1,1,2
120_53,2,1,1,2
90_84,2,1,1,2
61_21,2,2,1,2
68_97,1,1,2,2
62_119,2,2,1,2
116_71,2,2,2,2
47_88,1,1,2,2
12_71,1,2,2,2
89_31,2,1,1,2
1_37,2,2,2,2
98_62,2,1,1,2
81_74,2,1,2,2
41_95,1,1,2,2
61_12,1,1,2,2
102_66,1,1,2,2
69_71,1,2,2,2
116_47,1,2,1,2
10_59,2,2,2,2
120_80,2,1,2,2
70_82,2,2,1,2
87_85,2,1,2,2
11_88,1,1,2,2
12_64,2,2,2,2
57_87,2,1,1,2
35_82,1,2,2,2
70_91,2,1,1,2
36_69,2,1,2,2
12_67,2,2,1,2
83_92,2,1,2,2
46_9,2,2,2,2
45_85,2,1,1,2
101_57,2,1,1,2
77_30,1,1,2,2
103_86,2,1,1,2
101_71,2,1,2,2
100_99,1,1,2,2
125_74,1,1,2,2
8_76,1,1,2,2
89_71,1,2,2,2
106_37,2,1,2,2
129_35,2,1,1,2
73_68,2,1,1,2
98_34,2,1,2,2
42_81,1,2,1,2
37_92,2,1,1,2
70_71,1,2,1,2
109_85,1,2,1,2
7_56,2,2,1,2
77_68,1,1,2,2
30_80,1,2,2,2
133_59,2,1,1,2
83_31,2,1,2,2
96_74,1,1,2,2
60_10,1,1,2,2
95_87,1,1,2,2
118_67,2,1,2,2
95_95,2,1,2,2
64_88,2,2,1,2
40_76,1,1,2,2
88_29,2,2,1,2
71_108,1,2,1,2
94_73,1,1,2,2
57_111,1,1,2,2
6_59,2,2,1,2
77_71,2,1,2,2
80_105,1,1,2,2
122_58,2,1,1,2
63_109,1,2,1,2
58_84,2,2,1,2
28_90,2,1,1,2
74_16,1,1,2,2
64_80,2,2,1,2
49_84,2,2,1,2
73_24,2,2,2,2
101_52,1,1,2,2
81_60,1,1,2,2
113_48,1,2,1,2
87_79,2,2,2,2
57_88,2,1,2,2
94_78,1,2,2,2
47_9,1,2,1,2
65_17,2,2,1,2
48_82,2,1,1,2
88_25,2,1,2,2
43_86,2,1,2,2
10_66,2,2,2,2
86_56,2,1,2,2
59_115,2,1,1,2
86_108,1,2,1,2
41_82,1,2,1,2
6_63,2,1,1,2
64_92,2,1,1,2
55_75,1,2,2,2
102_50,2,2,2,2
17_76,2,2,2,2
113_78,1,1,2,2
80_90,1,1,2,2
105_70,1,2,1,2
108_40,2,1,1,2
96_37,2,2,1,2
51_95,2,1,2,2
83_78,1,1,2,2
82_93,2,1,2,2
73_36,2,1,2,2
74_64,2,2,2,2
102_84,2,1,2,2
95_96,2,1,2,2
36_76,2,1,2,2
116_57,2,1,2,2
99_63,2,1,1,2
100_60,2,1,1,2
95_73,2,1,1,2
65_82,2,1,2,2
46_106,2,1,2,2
48_87,2,1,2,2
71_93,2,1,1,2
117_49,2,1,2,2
128_66,2,1,1,2
112_81,1,1,2,2
90_34,1,1,2,2
70_94,2,1,2,2
93_97,2,1,1,2
83_103,2,1,1,2
109_80,2,1,1,2
84_99,2,2,1,2
113_24,1,1,2,2
38_91,1,2,1,2
55_13,2,2,1,2
86_85,2,1,2,2
96_87,1,1,2,2
126_51,1,2,1,2
127_72,2,2,1,2
75_23,1,1,2,2
51_9,2,1,1,2
72_81,2,2,2,2
40_68,2,2,1,2
83_17,1,1,2,2
105_63,2,2,1,2
87_27,1,1,2,2
72_101,1,1,2,2
41_80,1,1,2,2
77_95,2,2,1,2
77_17,2,2,1,2
49_11,2,1,2,2
40_86,2,1,2,2
1_53,2,1,2,2
111_52,2,1,2,2
74_81,2,2,1,2
72_61,2,1,2,2
92_39,2,1,2,2
73_71,2,2,2,2
10_81,1,1,2,2
130_46,2,1,1,2
82_96,2,2,2,2
80_77,1,1,2,2
105_82,2,2,1,2
70_93,1,2,1,2
73_85,1,2,1,2
88_79,2,1,1,2
84_64,2,1,2,2
76_18,1,2,2,2
95_72,2,1,1,2
98_36,2,1,2,2
72_79,1,2,1,2
109_57,2,1,2,2
59_87,1,1,2,2
4_50,1,2,1,2
59_84,1,2,1,2
95_99,2,2,2,2
53_82,2,1,1,2
46_80,1,2,1,2
122_73,2,1,1,2
68_67,2,1,2,2
32_72,2,1,1,2
79_73,2,1,2,2
87_66,2,1,2,2
110_72,2,1,1,2
62_81,1,2,2,2
96_76,2,1,1,2
60_111,1,2,1,2
93_43,2,1,2,2
77_100,2,2,2,2
107_69,2,1,1,2
58_81,1,1,2,2
70_76,2,1,1,2
85_81,1,2,2,2
73_75,2,1,2,2
70_107,1,1,2,2
115_46,1,1,2,2
41_87,1,1,2,2
7_78,1,1,2,2
75_84,2,1,1,2
84_103,2,1,2,2
118_63,2,1,1,2
39_6,2,1,2,2
36_95,2,1,1,2
76_89,1,1,2,2
106_63,2,2,1,2
116_36,2,2,2,2
76_84,1,2,1,2
71_67,1,1,2,2
89_61,1,2,2,2
56_82,1,2,1,2
94_90,2,1,1,2
39_74,2,1,1,2
102_86,2,1,1,2
96_58,2,2,1,2
37_77,1,2,2,2
88_55,1,1,2,2
57_85,2,2,1,2
75_75,1,1,2,2
53_87,2,2,1,2
79_69,1,2,1,2
113_71,2,2,2,2
96_72,1,1,2,2
95_44,2,1,2,2
87_74,2,1,2,2
121_34,1,1,2,2
54_96,2,1,1,2
107_31,1,2,1,2
104_61,1,1,2,2
73_87,2,1,2,2
116_68,2,1,1,2
104_67,2,1,1,2
110_86,2,1,1,2
102_60,1,2,1,2
75_71,1,1,2,2
73_27,1,1,2,2
78_96,2,2,1,2
37_78,2,2,1,2
82_38,2,1,1,2
60_73,2,2,2,2
93_83,2,2,1,2
73_67,2,1,2,2
6_73,1,1,2,2
95_53,2,2,2,2
101_83,1,1,2,2
131_1,1,2,1,2
52_84,2,1,2,2
58_78,1,1,2,2
69_104,1,2,2,2
61_79,1,2,1,2
63_89,2,1,1,2
59_133,2,1,1,2
82_83,2,1,2,2
116_79,2,1,1,2
90_67,2,2,2,2
62_103,1,2,2,2
70_101,2,2,2,2
93_57,2,2,2,2
43_82,2,1,2,2
69_67,1,1,2,2
88_28,2,2,2,2
104_81,2,1,2,2
97_91,1,2,1,2
92_77,1,1,2,2
90_25,2,1,2,2
76_76,1,2,2,2
109_70,1,2,2,2
87_75,2,2,2,2
82_27,2,2,2,2
85_83,2,1,1,2
106_86,2,1,1,2
91_64,2,1,1,2
61_91,1,1,2,2
92_50,2,2,2,2
92_41,1,1,2,2
31_74,2,1,2,2
58_85,2,1,1,2
59_89,2,1,1,2
83_86,1,1,2,2
118_75,2,1,1,2
91_70,2,1,1,2
61_102,2,1,1,2
118_36,2,1,2,2
130_58,2,1,1,2
81_105,2,1,1,2
83_25,2,2,2,2
116_56,2,1,2,2
103_67,1,2,2,2
70_78,2,1,2,2
90_22,1,2,2,2
93_53,2,1,2,2
73_61,2,2,2,2
66_89,1,2,2,2
85_34,2,1,1,2
126_70,1,1,2,2
94_38,1,1,2,2
96_54,1,1,2,2
37_90,2,1,1,2
64_87,2,1,1,2
96_69,2,1,2,2
53_109,1,1,2,2
57_74,1,1,2,2
112_64,2,1,1,2
72_89,2,1,1,2
31_88,1,1,2,2
72_98,1,1,2,2
74_105,1,1,2,2
65_76,2,2,1,2
110_57,2,2,2,2
89_74,1,1,2,2
42_79,1,2,1,2
85_47,1,2,2,2
64_14,1,2,2,2
102_65,1,2,2,2
62_12,2,2,1,2
70_19,2,2,2,2
109_31,1,2,1,2
77_64,1,2,2,2
76_91,1,1,2,2
97_66,2,2,2,2
89_100,2,1,1,2
82_86,1,1,2,2
97_62,1,1,2,2
109_59,1,2,2,2
30_88,2,2,2,2
102_54,1,2,2,2
39_91,1,2,1,2
77_87,2,1,1,2
114_83,2,1,1,2
102_70,1,2,1,2
34_90,1,2,2,2
88_71,1,1,2,2
49_82,2,2,1,2
132_49,1,1,2,2
93_74,1,1,2,2
42_83,2,1,1,2
127_51,2,1,2,2
101_32,2,1,1,2
54_74,1,1,2,2
123_54,2,1,1,2
67_98,2,1,2,2
32_86,1,1,2,2
51_94,1,1,2,2
8_72,1,1,2,2
61_86,2,1,1,2
90_90,1,2,1,2
102_52,1,1,2,2
69_94,2,1,2,2
13_58,1,2,2,2
47_84,1,1,2,2
84_102,2,2,1,2
42_89,2,1,1,2
62_79,1,2,2,2
102_64,2,1,1,2
37_88,1,1,2,2
106_85,2,1,1,2
79_38,2,2,2,2
124_64,1,2,2,2
50_100,2,1,1,2
132_57,1,1,2,2
91_34,1,1,2,2
58_88,2,1,1,2
94_83,1,2,1,2
45_99,1,2,1,2
91_78,2,1,1,2
104_88,1,1,2,2
92_97,1,1,2,2
32_96,2,2,1,2
58_14,1,1,2,2
86_54,2,2,2,2
60_70,2,2,2,2
114_60,1,1,2,2
101_37,1,1,2,2
78_32,2,1,2,2
96_71,1,1,2,2
41_72,2,1,1,2
56_97,2,2,1,2
90_108,1,1,2,2
75_73,2,1,1,2
118_81,2,1,1,2
38_95,1,2,1,2
47_65,2,2,2,2
95_24,2,2,1,2
128_57,1,2,2,2
42_88,1,1,2,2
130_70,2,1,2,2
78_105,2,1,2,2
135_50,1,1,2,2
58_94,1,2,2,2
62_111,2,1,1,2
67_76,2,1,1,2
85_57,1,1,2,2
60_121,1,2,1,2
98_57,2,1,2,2
97_94,1,1,2,2
7_54,2,1,1,2
65_93,2,1,2,2
81_93,1,1,2,2
50_88,2,1,1,2
91_32,2,2,2,2
115_67,2,1,2,2
129_43,2,1,1,2
109_73,2,1,2,2
11_65,2,2,2,2
109_79,1,1,2,2
64_73,2,1,1,2
45_90,2,2,1,2
115_73,2,1,1,2
72_13,2,1,2,2
58_128,2,1,1,2
85_77,1,1,2,2
43_104,1,2,1,2
99_83,2,1,1,2
2_44,2,2,1,2
70_60,1,2,2,2
114_63,1,1,2,2
105_79,2,2,1,2
55_103,1,2,1,2
71_109,1,1,2,2
101_89,1,2,1,2
53_97,2,2,1,2
64_94,2,1,1,2
100_45,2,1,1,2
83_32,2,1,2,2
85_82,2,1,2,2
68_101,1,1,2,2
34_85,1,2,1,2
103_41,1,1,2,2
91_61,2,1,1,2
99_53,1,2,2,2
56_10,2,2,1,2
32_90,1,1,2,2
108_79,2,1,2,2
75_106,1,2,2,2
49_65,2,2,1,2
3_55,1,1,2,2
104_39,2,1,2,2
101_69,1,1,2,2
89_32,2,1,1,2
55_95,1,2,1,2
114_73,1,1,2,2
79_36,1,2,2,2
63_123,2,1,1,2
96_62,2,1,2,2
94_100,2,1,1,2
9_70,1,1,2,2
75_68,2,1,2,2
55_88,1,1,2,2
37_89,2,2,2,2
8_65,2,1,2,2
58_15,1,2,2,2
86_36,1,1,2,2
72_122,1,2,2,2
67_88,1,2,1,2
87_71,2,1,2,2
60_69,1,2,2,2
58_97,1,1,2,2
86_103,1,1,2,2
115_32,2,1,1,2
92_40,1,2,2,2
79_72,2,2,2,2
35_89,2,1,1,2
9_67,1,1,2,2
87_72,1,2,1,2
56_12,1,2,1,2
71_86,1,1,2,2
93_76,2,1,2,2
76_51,2,1,1,2
121_68,1,2,2,2
67_110,1,1,2,2
85_84,2,1,1,2
78_69,1,1,2,2
54_76,2,2,2,2
105_90,2,1,1,2
118_61,2,1,1,2
78_95,1,1,2,2
63_83,1,1,2,2
90_82,1,1,2,2
46_5,1,1,2,2
119_40,1,1,2,2
79_44,1,2,2,2
72_76,1,1,2,2
116_63,2,1,1,2
97_90,1,2,1,2
91_37,1,1,2,2
68_110,1,1,2,2
33_66,2,1,2,2
65_116,1,2,1,2
93_82,1,2,2,2
134_47,1,2,1,2
98_74,1,2,2,2
88_12,1,1,2,2
19_88,1,2,2,2
48_90,2,1,1,2
109_88,1,1,2,2
68_100,1,1,2,2
101_68,1,1,2,2
34_78,2,1,2,2
80_25,1,1,2,2
87_80,2,2,2,2
121_71,1,2,1,2
85_93,1,1,2,2
55_84,2,2,1,2
77_94,2,1,2,2
80_28,1,2,2,2
83_27,2,2,2,2
84_29,1,2,2,2
122_48,1,1,2,2
64_95,1,1,2,2
70_80,1,1,2,2
82_30,1,2,2,2
138_54,1,1,2,2
77_15,1,2,1,2
108_42,1,1,2,2
36_64,2,2,2,2
153_43,2,2,1,2
68_75,2,2,1,2
80_65,2,1,1,2
70_81,1,2,1,2
116_40,1,1,2,2
97_42,1,1,2,2
83_19,1,1,2,2
86_17,1,1,2,2
74_73,1,2,2,2
63_96,1,1,2,2
111_69,1,1,2,2
30_3,1,2,2,2
59_79,1,1,2,2
61_76,1,2,1,2
85_75,1,2,1,2
84_79,1,1,2,2
121_70,2,2,2,2
1_42,1,1,2,2
46_87,1,2,2,2
42_9,1,2,2,2
86_16,1,1,2,2
44_7,1,1,2,2
121_59,1,2,1,2
110_63,2,1,2,2
118_28,1,2,1,2
7_66,1,1,2,2
74_15,1,1,2,2
37_81,2,1,1,2
91_66,1,1,2,2
118_29,1,2,1,2
32_83,1,2,2,2
43_65,1,1,2,2
92_101,1,1,2,2
49_83,1,1,2,2
98_95,1,2,2,2
56_84,1,2,2,2
94_60,1,2,2,2
92_29,1,2,1,2
87_19,1,2,1,2
55_114,1,2,1,2
77_23,1,2,2,2
123_69,2,2,1,2
98_11,1,1,2,2
72_69,1,1,2,2
82_31,1,1,2,2
2_60,1,2,1,2
66_15,1,2,1,2
81_0,1,2,1,2
114_0,1,1,2,2
84_33,2,1,3,3
0_54,3,1,1,3
93_44,1,3,2,3
63_69,2,3,3,3
91_41,3,1,2,3
63_19,3,1,3,3
114_72,3,1,1,3
129_64,3,1,1,3
52_64,3,3,3,3
66_24,3,3,2,3
77_18,3,1,1,3
59_59,3,1,3,3
87_105,2,3,1,3
109_36,1,2,3,3
86_83,1,3,1,3
106_82,3,1,3,3
42_8,2,3,3,3
45_57,3,3,3,3
104_59,2,3,2,3
97_26,3,1,2,3
114_62,3,1,1,3
88_45,1,3,2,3
118_41,1,2,3,3
61_44,3,3,2,3
100_39,2,1,3,3
57_66,3,3,2,3
51_88,1,3,2,3
49_90,3,2,2,3
82_109,1,3,1,3
89_82,1,1,3,3
42_69,3,3,3,3
84_31,1,1,3,3
4_53,3,2,3,3
80_57,2,3,2,3
104_77,3,2,1,3
100_67,3,2,3,3
83_13,2,2,3,3
72_72,3,2,2,3
103_35,1,1,3,3
72_73,3,1,2,3
53_77,2,3,3,3
74_31,1,1,3,3
76_80,1,3,2,3
61_68,2,2,3,3
103_71,3,3,2,3
73_73,3,1,3,3
97_41,1,1,3,3
3_49,2,1,3,3
47_64,3,1,3,3
81_72,3,1,2,3
100_40,3,2,1,3
83_41,3,2,2,3
75_28,2,1,3,3
62_55,3,3,3,3
71_55,3,3,1,3
96_28,3,1,2,3
1_35,2,3,3,3
84_37,1,1,3,3
100_68,3,1,2,3
13_65,1,3,2,3
104_53,2,1,3,3
88_41,2,3,3,3
49_76,1,3,3,3
14_68,2,2,3,3
85_29,3,2,2,3
78_61,3,1,3,3
28_83,2,1,3,3
99_84,1,2,3,3
83_56,3,1,1,3
81_20,1,1,3,3
45_78,3,2,2,3
98_78,3,2,1,3
42_5,3,1,2,3
4_51,2,3,2,3
69_73,3,3,1,3
72_62,3,1,2,3
64_74,3,2,3,3
95_77,1,3,1,3
68_16,2,2,3,3
80_20,3,1,2,3
99_26,3,1,2,3
65_52,2,1,3,3
35_91,3,1,1,3
92_44,1,1,3,3
50_75,2,3,3,3
42_68,2,2,3,3
105_65,3,1,2,3
103_60,3,1,3,3
99_75,2,3,1,3
94_65,3,1,2,3
72_34,3,3,3,3
104_58,1,2,3,3
62_100,3,1,1,3
61_81,3,3,1,3
9_63,1,3,1,3
71_94,3,1,2,3
64_86,2,1,3,3
86_70,3,1,1,3
66_79,2,3,3,3
80_19,3,1,1,3
76_68,2,1,3,3
85_60,2,2,3,3
106_68,3,2,1,3
77_31,3,1,3,3
96_48,3,2,3,3
99_37,3,1,1,3
77_28,3,1,3,3
61_72,3,1,2,3
84_77,3,1,1,3
73_51,1,2,3,3
104_60,1,1,3,3
74_63,3,2,2,3
66_73,3,1,2,3
94_53,1,1,3,3
9_57,1,2,3,3
49_77,3,3,2,3
47_79,3,2,3,3
76_62,3,3,3,3
87_47,1,1,3,3
56_62,3,2,2,3
127_67,1,1,3,3
73_20,3,1,2,3
92_75,2,3,1,3
66_23,1,3,3,3
85_56,2,1,3,3
57_9,2,3,1,3
98_39,1,1,3,3
110_55,3,1,1,3
80_36,3,2,2,3
77_24,3,2,3,3
92_74,3,1,3,3
18_77,3,3,3,3
98_37,2,1,3,3
18_80,3,1,2,3
52_16,3,3,1,3
67_19,2,1,3,3
45_81,2,3,1,3
74_48,1,3,2,3
86_68,3,1,1,3
57_21,1,3,3,3
56_76,3,1,3,3
117_53,2,1,3,3
102_78,2,2,3,3
18_72,3,1,3,3
88_82,3,1,1,3
95_42,3,1,3,3
48_89,3,1,3,3
97_39,2,2,3,3
125_46,1,2,3,3
69_98,1,3,1,3
86_28,2,1,3,3
93_72,3,1,3,3
79_85,3,1,2,3
99_76,3,1,3,3
104_92,1,3,3,3
69_69,3,1,2,3
100_17,1,1,3,3
91_57,2,3,1,3
94_33,3,1,1,3
49_71,3,2,3,3
56_17,3,3,3,3
66_78,3,3,1,3
90_78,2,1,3,3
71_69,3,2,3,3
59_70,2,3,2,3
104_24,1,1,3,3
92_85,3,1,2,3
61_78,3,1,2,3
51_77,2,1,3,3
79_14,1,3,1,3
85_52,2,3,3,3
110_71,2,3,2,3
104_75,2,1,3,3
82_74,2,1,3,3
80_22,3,1,2,3
63_12,1,2,3,3
88_24,3,1,3,3
96_27,3,1,3,3
99_86,3,1,2,3
65_72,3,2,2,3
106_80,2,3,1,3
68_63,3,1,3,3
51_12,2,2,3,3
61_97,1,2,3,3
93_23,2,2,3,3
57_72,1,3,3,3
40_8,2,3,3,3
79_34,3,2,1,3
71_66,3,2,2,3
67_69,1,2,3,3
95_34,3,1,3,3
108_82,2,1,3,3
89_65,2,2,3,3
59_80,2,1,3,3
1_46,2,1,3,3
52_79,3,2,1,3
28_77,1,1,3,3
50_74,3,3,2,3
22_1,3,3,1,3
51_66,3,2,2,3
81_37,3,2,2,3
81_79,2,3,2,3
92_36,3,1,1,3
79_68,3,1,2,3
31_75,2,2,3,3
104_89,2,1,3,3
38_82,3,3,2,3
81_26,3,3,2,3
72_78,2,2,3,3
33_63,3,1,3,3
76_75,3,1,1,3
62_74,3,2,1,3
62_22,3,2,2,3
56_73,3,2,1,3
36_82,3,1,3,3
85_48,3,1,3,3
87_50,2,1,3,3
100_50,3,3,1,3
80_76,3,3,2,3
82_92,3,2,2,3
90_46,2,1,3,3
99_60,1,1,3,3
127_65,2,1,3,3
86_89,1,2,3,3
59_11,1,3,2,3
45_11,2,3,3,3
70_77,2,1,3,3
89_45,1,1,3,3
68_98,1,3,3,3
84_61,1,3,1,3
41_4,1,3,2,3
60_86,3,1,2,3
74_45,2,3,2,3
88_75,3,1,2,3
72_77,3,1,2,3
49_74,1,2,3,3
49_79,3,2,3,3
96_92,3,1,2,3
69_28,3,3,3,3
43_73,2,2,3,3
78_85,3,2,1,3
61_85,3,1,1,3
96_45,2,2,3,3
57_98,1,1,3,3
65_51,3,3,2,3
63_51,3,2,2,3
73_39,3,3,3,3
102_43,3,3,3,3
74_30,3,1,3,3
29_80,3,1,3,3
75_81,3,3,2,3
51_99,1,3,1,3
55_86,2,1,3,3
86_63,2,1,3,3
75_116,1,1,3,3
65_67,3,1,2,3
96_99,1,2,3,3
47_82,2,1,3,3
102_69,3,2,2,3
124_52,1,1,3,3
66_12,1,2,3,3
89_84,1,2,3,3
92_68,1,2,3,3
67_102,1,3,2,3
82_89,1,3,1,3
74_72,2,3,3,3
57_70,1,3,2,3
80_64,1,3,2,3
75_33,2,2,3,3
90_52,1,3,3,3
97_87,3,1,1,3
115_49,1,1,3,3
34_96,1,1,3,3
82_98,1,1,3,3
56_67,3,3,2,3
68_71,3,2,1,3
81_86,2,3,2,3
40_83,3,3,2,3
87_69,3,2,3,3
29_77,2,2,3,3
99_81,1,2,3,3
78_84,3,1,1,3
69_56,3,1,2,3
108_61,3,1,3,3
87_29,3,2,3,3
86_57,3,2,3,3
93_107,2,1,3,3
61_74,3,2,3,3
12_61,1,3,3,3
94_71,3,2,1,3
90_53,1,1,3,3
45_89,2,1,3,3
94_63,3,3,1,3
83_33,1,3,3,3
95_63,2,3,3,3
76_64,2,1,3,3
1_40,3,1,3,3
85_35,1,3,3,3
