sig,n_fafb,n_banc,n_mcns,max_count,neuron_fafb,neuron_banc,neuron_mcns
53_85,1,1,1,1,720575940628259456,720575941557413248,513370
71_111,1,1,1,1,720575940628356096,720575941553755264,28013
66_1,1,1,1,1,720575940628387712,720575941436955136,809739
70_86,1,1,1,1,720575940628457472,720575941430433536,21939
116_43,1,1,1,1,720575940628462336,720575941494435968,13762
58_106,1,1,1,1,720575940628525184,720575941547493248,22294
5_61,1,1,1,1,720575940628661888,720575941589096448,23351
115_68,1,1,1,1,720575940628708992,720575941568889344,44604
28_91,1,1,1,1,720575940628731776,720575941506226176,14077
51_82,1,1,1,1,720575940628882688,720575941595376128,19744
115_53,1,1,1,1,720575940628985088,720575941502017152,19681
105_64,1,1,1,1,720575940629468672,720575941481624960,22057
97_44,1,1,1,1,720575940629504384,720575941600584960,525322
122_62,1,1,1,1,720575940629506048,720575941471724544,524364
82_80,1,1,1,1,720575940629683712,720575941526124672,21859
69_12,1,1,1,1,720575940629689984,720575941508437760,810959
60_85,1,1,1,1,720575940629777536,720575941703359744,40213
54_139,1,1,1,1,720575940629843712,720575941639327616,802538
38_94,1,1,1,1,720575940629983232,720575941607871616,1052280561
77_108,1,1,1,1,720575940630156672,720575941573580928,26071
10_82,1,1,1,1,720575940630203648,720575941549450752,808502
57_1,1,1,1,1,720575940630321920,720575941609393792,812111
65_94,1,1,1,1,720575940630574848,720575941642688256,905077
54_105,1,1,1,1,720575940630618624,720575941571547904,20795
3_52,1,1,1,1,720575940630693504,720575941450261888,807917
73_70,1,1,1,1,720575940630729600,720575941540640896,517452
108_30,1,1,1,1,720575940630797440,720575941528878976,84646
78_113,1,1,1,1,720575940631068928,720575941535103872,800029
82_79,1,1,1,1,720575940631088000,720575941595592832,804452
132_63,1,1,1,1,720575940631185792,720575941631158784,99043
124_26,1,1,1,1,720575940631303936,720575941586754560,59388
113_28,1,1,1,1,720575940631338240,720575941520333056,99696
46_79,1,1,1,1,720575940631616000,720575941639627008,35637
98_68,1,1,1,1,720575940631876736,720575941480052992,513430
83_83,1,1,1,1,720575940631974784,720575941579829248,803624
62_117,1,1,1,1,720575940632028800,720575941542876928,11857
115_56,1,1,1,1,720575940632228608,720575941689012096,41775
79_93,1,1,1,1,720575940632434176,720575941611427712,18383
88_111,1,1,1,1,720575940632809728,720575941452313216,18364
51_120,1,1,1,1,720575940633171968,720575941597605760,11700
0_68,1,1,1,1,720575940633416576,720575941539097472,906982
60_126,1,1,1,1,720575940633927552,720575941499076992,22072
89_78,1,1,1,1,720575940633972864,720575941523112448,24485
111_57,1,1,1,1,720575940634155776,720575941627301888,23463
138_61,1,1,1,1,720575940634351232,720575941576743552,802383
82_90,1,1,1,1,720575940634667008,720575941463655680,801567
111_58,1,1,1,1,720575940634825600,720575941652567296,29461
54_93,1,1,1,1,720575940635050624,720575941603749760,803059
108_69,1,1,1,1,720575940635378048,720575941550219776,522917
104_56,1,1,1,1,720575940635467136,720575941542768256,28956
68_114,1,1,1,1,720575940635503744,720575941576223616,39974
5_92,1,1,1,1,720575940635634560,720575941573620736,40428
122_51,1,1,1,1,720575940635696000,720575941486637952,38859
103_33,1,1,1,1,720575940635835904,720575941475388416,130971
52_101,1,1,1,1,720575940635865216,720575941578601088,19339
116_65,1,1,1,1,720575940635895424,720575941486413696,28030
66_123,1,1,1,1,720575940636241024,720575941658868224,22654
82_20,1,1,1,1,720575940636285312,720575941526026880,904945
109_62,1,1,1,1,720575940636491648,720575941700609280,513158
71_12,1,1,1,1,720575940636524160,720575941413869184,933278
104_43,1,1,1,1,720575940637033216,720575941515473792,20712
73_86,1,1,1,1,720575940637664512,720575941516274560,26916
2_61,1,1,1,1,720575940637687552,720575941552165248,521444
86_73,1,1,1,1,720575940638611072,720575941544874368,18997
64_85,1,1,1,1,720575940638616576,720575941495899520,33503
36_80,1,1,1,1,720575940639048832,720575941496256256,33173
89_68,1,1,1,1,720575940639548032,720575941464901376,806371
92_27,1,1,1,1,720575940639621248,720575941660806272,516198
78_114,1,1,1,1,720575940639747200,720575941596252800,15945
80_118,1,1,1,1,720575940639786880,720575941563295360,20253
133_52,1,1,1,1,720575940640205440,720575941564279424,20205
114_69,1,1,1,1,720575940642428032,720575941497036288,514292
107_82,1,1,1,1,720575940642445824,720575941546643328,39147
106_28,1,1,1,1,720575940643197056,720575941691297664,11983
127_57,1,1,1,1,720575940644715264,720575941625601024,25496
90_101,1,1,1,1,720575940646160896,720575941662369536,15145
125_42,1,1,1,1,720575940649229440,720575941532586368,15345
14_73,1,1,1,1,720575940650403456,720575941643043328,64045
73_19,1,1,1,1,720575940653346560,720575941498958720,61151
132_59,1,1,1,1,720575940653576704,720575941526950528,12064
86_20,1,1,1,1,720575940659860608,720575941729937152,16306
