neuron_fafb,neuron_banc,neuron_mcns
720575940603390336,720575941353138688,15759
720575940604174464,720575941352944640,16453
720575940602497664,720575941411667840,27879
720575940604182400,720575941403317120,25996
720575940604183680,720575941466542976,19219
720575940604188416,720575941351536640,19388
720575940603183872,720575941391944960,20534
720575940604211584,720575941439304192,15120
720575940604213888,720575941391875584,22487
720575940604228480,720575941351883520,12463
720575940604241536,720575941426670464,54044
720575940604256128,720575941426231424,18310
720575940604284288,720575941351776512,28089
720575940604248064,720575941414219648,14292
720575940604304512,720575941414605184,20206
720575940604307968,720575941401072640,19832
720575940604352640,720575941391126272,22576
720575940604383744,720575941399938048,11086
720575940604389376,720575941351888640,13140
720575940604402048,720575941406694016,18993
720575940604412544,720575941403825024,20617
720575940603498880,720575941393197184,26312
720575940604415104,720575941404908416,19788
720575940604444032,720575941442155520,20437
720575940604447104,720575941352057856,21422
720575940604447488,720575941352015872,19546
720575940604452352,720575941439057664,25488
720575940604453376,720575941429196928,17297
720575940603394304,720575941406857344,24288
720575940604467456,720575941430514944,19527
720575940604470144,720575941430873728,54380
720575940603874432,720575941390326528,10694
720575940603818496,720575941390663552,15465
720575940604480896,720575941393133440,24367
720575940604483072,720575941406551296,11766
720575940604412928,720575941392961280,21615
720575940604494720,720575941408587392,40407
720575940604498048,720575941440138624,27388
720575940604508928,720575941430485504,14931
720575940596125824,720575941353012992,14329
720575940604511744,720575941390243328,10605
720575940600124160,720575941402954880,23303
720575940604536960,720575941430799872,18852
720575940604550528,720575941392744960,15103
720575940604552832,720575941350374912,41998
720575940604561792,720575941427441536,13453
720575940604564480,720575941353210624,27473
720575940604567424,720575941390660480,26583
720575940604581120,720575941353222144,14413
720575940604584704,720575941405855872,20245
720575940604592128,720575941407089152,21101
720575940604599680,720575941413788800,16677
720575940602577536,720575941351206912,15873
720575940603526016,720575941400436480,16310
720575940604627840,720575941415853056,17398
720575940604628096,720575941411500160,12045
720575940604630784,720575941351390464,19188
720575940603446400,720575941392390656,37975
720575940604634624,720575941402532480,32047
720575940603904512,720575941435323136,17565
720575940604636800,720575941429419008,15621
720575940604640512,720575941427668864,16329
720575940604643840,720575941544696704,16025
720575940603639680,720575941350764288,15983
720575940604650496,720575941393503616,13383
720575940604658944,720575941400738560,23600
720575940604659456,720575941392113152,39219
720575940604661504,720575941412895104,29136
720575940603011840,720575941390604416,12677
720575940603174400,720575941353070336,11230
720575940604667776,720575941393762432,18441
720575940603430144,720575941391873792,19603
720575940602891264,720575941408714368,25038
720575940604692096,720575941350443264,12279
720575940604533888,720575941351188224,22030
720575940604709120,720575941351170304,21328
720575940604712704,720575941391498368,17204
720575940604714880,720575941409196672,30030
720575940604584064,720575941351183616,19324
720575940604720128,720575941391982080,19101
720575940604721152,720575941393325440,14915
720575940604723456,720575941437323776,27361
720575940604729344,720575941408444544,16406
720575940604738176,720575941408127104,23879
720575940604744576,720575941435845376,13014
720575940602572800,720575941399288320,24368
720575940604774528,720575941392249088,43776
720575940604778624,720575941391665792,28633
720575940604786688,720575941430714368,27596
720575940604738688,720575941351169792,16082
720575940604620544,720575941352775936,13292
720575940604798848,720575941410334336,12392
720575940600547584,720575941392491264,14326
720575940603569792,720575941392743936,16036
720575940604745472,720575941392706816,15632
720575940602401152,720575941459183488,13169
720575940603934848,720575941412572544,24767
720575940604829184,720575941391078400,25848
720575940604831488,720575941425381760,15894
720575940604833920,720575941351164160,23822
720575940603392512,720575941392278656,21473
720575940604200320,720575941392484608,16027
720575940604860288,720575941401594624,40346
720575940604872192,720575941352448768,18252
720575940604892672,720575941402417792,24748
720575940604897280,720575941401918464,27182
720575940603268096,720575941405010304,13765
720575940604912640,720575941426290048,17969
720575940603498368,720575941402095616,11862
720575940603719680,720575941391568128,19288
720575940604597504,720575941429686400,27987
720575940604532864,720575941390728576,13918
720575940604957952,720575941411357312,23814
720575940604958720,720575941411479936,26868
720575940604961024,720575941400948480,17526
720575940604781440,720575941351387392,24777
720575940604478080,720575941391492224,28276
720575940604193024,720575941400022784,12579
720575940603843968,720575941351504896,20672
720575940604964608,720575941432150144,14940
720575940604609536,720575941352401408,10465
720575940604968832,720575941390774656,23925
720575940604971392,720575941391007104,20696
720575940603125248,720575941407986688,24362
720575940605015808,720575941470355712,60130
720575940605028864,720575941478685312,42117
720575940605029120,720575941428373632,21388
720575940605038208,720575941351384064,16239
720575940605039744,720575941624014848,23971
720575940605041920,720575941407042176,23720
720575940603556224,720575941402225024,12265
720575940605046144,720575941391476096,26691
720575940605051008,720575941391953152,13275
720575940602140800,720575941351251200,14144
720575940604738048,720575941391387008,17264
720575940603384704,720575941352925696,29207
720575940603807360,720575941391110656,18284
720575940604381824,720575941477522816,15780
720575940605092736,720575941562594176,50295
720575940605097088,720575941415783168,30917
720575940605097984,720575941352081920,26761
720575940604437760,720575941508608384,28200
720575940605106048,720575941399317504,28425
720575940605114880,720575941424973696,15969
720575940605099008,720575941392683648,28467
720575940605128576,720575941392353408,21975
720575940605142144,720575941515708928,33549
720575940604450688,720575941352668160,18166
720575940605154048,720575941407485824,18392
720575940605165184,720575941391537664,27349
720575940605169536,720575941406854912,16713
720575940605179904,720575941502712576,44953
720575940605186176,720575941473928192,14558
720575940604878976,720575941352084736,21215
720575940605193728,720575941391868672,11487
720575940605220480,720575941392883328,22237
720575940605223296,720575941408829696,21028
720575940605227264,720575941404813696,16737
720575940605237888,720575941413204608,18215
720575940605251712,720575941402375424,12960
720575940605255040,720575941429234560,19883
720575940605258624,720575941457894272,20407
720575940599458048,720575941391416704,14392
720575940604904192,720575941392302848,27842
720575940605278336,720575941429475072,17482
720575940605280896,720575941404362368,21097
720575940603767936,720575941430657408,19351
720575940605282432,720575941431360000,33266
720575940604404864,720575941351179776,13422
720575940605286016,720575941465661184,31134
720575940605291136,720575941449475456,47157
720575940604179328,720575941390750336,19584
720575940604045440,720575941352364288,16757
720575940604692736,720575941390320640,18375
720575940605300224,720575941550638336,26639
720575940603616768,720575941353475584,24429
720575940603939968,720575941394051968,28746
720575940605315200,720575941430552704,30543
720575940605319296,720575941413070720,26633
720575940605319808,720575941438738432,18224
720575940605274496,720575941407623808,36144
720575940605324160,720575941406275456,14858
720575940604524416,720575941392561536,23772
720575940605332096,720575941392390912,48029
720575940604221312,720575941410671232,25855
720575940604585472,720575941392604032,21189
720575940605354624,720575941480342912,44859
720575940605362944,720575941434698624,29129
720575940605380096,720575941391572736,16791
720575940605382144,720575941565498880,18098
720575940605396864,720575941471086976,17797
720575940605020288,720575941402080256,22647
720575940605411200,720575941450121088,19971
720575940604684160,720575941401496832,19988
720575940605438336,720575941452590464,24375
720575940604988288,720575941408124288,19796
720575940605443456,720575941401516032,47144
720575940605444992,720575941391039232,27970
720575940604721664,720575941428845952,19914
720575940605455104,720575941504873728,13100
720575940605462912,720575941442046976,13224
720575940604151040,720575941514111616,22516
720575940605494272,720575941430150016,40638
720575940605494784,720575941429545600,28649
720575940605501440,720575941406989696,22775
720575940601263488,720575941351388672,15080
720575940604700416,720575941391516928,29728
720575940605508352,720575941391122176,17261
720575940604079488,720575941352906752,14273
720575940605536128,720575941403959936,41355
720575940605304192,720575941352372480,19071
720575940604345600,720575941405891200,20630
720575940605546240,720575941409868416,13928
720575940604812416,720575941391221120,25224
720575940603730176,720575941351478016,18429
720575940605567488,720575941430375424,11465
720575940599729920,720575941393603968,14546
720575940604991616,720575941351173376,17848
720575940605584256,720575941407005440,23155
720575940605589376,720575941414484352,11069
720575940605597824,720575941403223680,56608
720575940603996032,720575941408439552,16122
720575940602885376,720575941350569728,24655
720575940604678912,720575941391024896,37041
720575940604125824,720575941352075520,54944
720575940605622144,720575941399965952,22060
720575940605627008,720575941407259520,17660
720575940604495488,720575941391465472,16552
720575940605630976,720575941392327424,17733
720575940605631104,720575941352077056,14617
720575940605643776,720575941408569216,18893
720575940604249856,720575941351408640,43441
720575940603663232,720575941392989440,26864
720575940605645568,720575941390823808,43309
720575940603435264,720575941351421440,17916
720575940603859328,720575941351427584,45523
720575940604662400,720575941351226112,18930
720575940604804992,720575941392170112,26435
720575940605671808,720575941427728000,17309
720575940604809856,720575941401286144,28493
720575940604493056,720575941393674112,35943
720575940605413376,720575941409351040,25788
720575940605742336,720575941390627200,30317
720575940605749504,720575941439143936,15747
720575940605774208,720575941408671744,35331
720575940605776768,720575941390273792,26327
720575940604763520,720575941352800512,16924
720575940605786112,720575941390725248,16845
720575940605787520,720575941460377728,23258
720575940603792512,720575941352076800,11062
720575940603250816,720575941352598784,17948
720575940605401728,720575941439203968,21002
720575940605825408,720575941447785344,38762
720575940604565248,720575941446820864,14917
720575940604963584,720575941435315840,29494
720575940605834112,720575941404155008,19102
720575940605834240,720575941471032064,23153
720575940605838976,720575941390722688,11045
720575940605839744,720575941407535488,18031
720575940605842048,720575941431140352,14631
720575940604889600,720575941427236480,23166
720575940604521984,720575941392897792,36048
720575940603487488,720575941403195264,21457
720575940599744128,720575941352782336,74535
720575940605857664,720575941392405632,49518
720575940603875584,720575941392018432,22842
720575940605868160,720575941391691264,12663
720575940605870848,720575941466424576,14284
720575940604931200,720575941408491776,23639
720575940604388992,720575941391033984,13688
720575940605882240,720575941446894592,30510
720575940605882496,720575941407409536,20118
720575940604740864,720575941411751296,23902
720575940605888896,720575941431221120,49669
720575940605889792,720575941407499008,16920
720575940605893376,720575941430644864,16585
720575940604877056,720575941407039232,17779
720575940605897728,720575941437850112,28333
720575940603942272,720575941351367936,51550
720575940605907584,720575941393088640,15435
720575940605912960,720575941446801280,30055
720575940605913472,720575941480066304,19334
720575940605915648,720575941456310144,16161
720575940605916032,720575941391723648,27768
720575940605917184,720575941408422272,39009
720575940605932672,720575941400789504,12383
720575940605934976,720575941431271552,33681
720575940605938048,720575941353440256,19771
720575940603676032,720575941392504832,14602
720575940605939584,720575941352359424,71337
720575940605939968,720575941412445312,34042
720575940605942912,720575941401753600,18531
720575940605943808,720575941352907776,16492
720575940605962368,720575941411719296,15767
720575940605977472,720575941409200128,20009
720575940605981824,720575941404949888,14377
720575940603832320,720575941391879168,16681
720575940605989248,720575941392240512,29916
720575940605996160,720575941399264256,44301
720575940606005632,720575941390761856,24157
720575940605804672,720575941352589312,29292
720575940606016256,720575941447416832,14211
720575940606036352,720575941353389568,28672
720575940606042752,720575941461526912,34910
720575940605805568,720575941432179328,33157
720575940605822208,720575941353115392,35813
720575940606058624,720575941438853120,38237
720575940603804672,720575941351676672,24454
720575940605619712,720575941399926016,21551
720575940606080128,720575941392817024,18667
720575940602564352,720575941352881152,15687
720575940606095488,720575941400125184,25140
720575940603773824,720575941411673728,26765
720575940605135488,720575941390858240,34285
720575940604805504,720575941352587008,17242
720575940606123136,720575941403705728,16555
720575940606130816,720575941392986880,31775
720575940603719552,720575941408097792,20545
720575940606139264,720575941427241600,12709
720575940604240256,720575941391563904,37633
720575940605970432,720575941391425536,16999
720575940606166912,720575941360473600,41228
720575940605735296,720575941441514368,19312
720575940604745344,720575941436577536,17127
720575940603739136,720575941353514240,33931
720575940606201216,720575941412176256,14696
720575940606201600,720575941407418880,27153
720575940604074112,720575941498966528,25016
720575940606220928,720575941391968896,13579
720575940606141440,720575941460257792,35715
720575940606236032,720575941412332160,38652
720575940606257536,720575941392728064,17077
720575940603448960,720575941352911872,16398
720575940606279168,720575941408828672,12482
720575940600722304,720575941353490944,35004
720575940605762048,720575941405321344,14791
720575940604646400,720575941414778496,21198
720575940606293888,720575941391870464,13175
720575940606301824,720575941413938944,20638
720575940606333056,720575941391516416,35762
720575940606334336,720575941404960640,15596
720575940606335360,720575941508931840,15940
720575940604772608,720575941391840896,15625
720575940606370560,720575941406820352,30867
720575940605213056,720575941406733568,20222
720575940605174656,720575941392702208,16844
720575940605440768,720575941403708544,21498
720575940604561536,720575941411385984,16748
720575940606398208,720575941478639488,42816
720575940603722368,720575941429793408,47732
720575940605179392,720575941391630464,27174
720575940602353664,720575941391564544,16491
720575940606430336,720575941429599616,37147
720575940604268160,720575941351325184,27627
720575940605960576,720575941352082176,58162
720575940604499968,720575941391958016,27197
720575940606450560,720575941405337984,21505
720575940603233280,720575941392657024,21875
720575940606475520,720575941447921920,21627
720575940604940800,720575941408048256,31531
720575940605145472,720575941406985088,15834
720575940605369984,720575941455088640,66118
720575940606496000,720575941404322688,15954
720575940606496128,720575941431583744,43362
720575940603891968,720575941392594048,20871
720575940605823360,720575941431188480,16177
720575940606517504,720575941429638912,10851
720575940606521216,720575941430869376,12861
720575940606545280,720575941506463872,14351
720575940604247936,720575941403318144,62002
720575940606553344,720575941390193152,17528
720575940604273664,720575941393412992,62524
720575940605572096,720575941391789056,11267
720575940606600576,720575941407049728,15948
720575940606619904,720575941459913856,24779
720575940606180736,720575941392946176,38819
720575940604708864,720575941392868992,14578
720575940606653312,720575941414117760,37607
720575940606655872,720575941390690944,28065
720575940602506240,720575941459104896,48774
720575940606667008,720575941406646144,29051
720575940606671104,720575941453425792,30296
720575940606680704,720575941414101120,12165
720575940605665664,720575941353204224,20045
720575940606683008,720575941590117632,105928
720575940604425728,720575941353394432,24695
720575940604891648,720575941403027584,12699
720575940605523200,720575941414482816,24196
720575940606706304,720575941400484864,36580
720575940604731520,720575941393538944,13691
720575940604332416,720575941451450752,36625
720575940604517760,720575941352998912,28966
720575940597944832,720575941441372160,20305
720575940606737280,720575941410102912,23894
720575940604199552,720575941403520384,21321
720575940604984832,7.20575941367e+17,60210
720575940606760320,720575941441050752,48773
720575940606763008,720575941413414784,31176
720575940606110592,720575941393217152,18570
720575940605790592,720575941445527552,15680
720575940604803968,720575941448003840,24015
720575940606802816,720575941470386048,25630
720575940606806144,720575941392587776,50795
720575940606810624,720575941478755712,19137
720575940606812800,720575941404855424,29458
720575940606819456,720575941402089216,29967
720575940606835456,720575941412961408,18764
720575940604539776,720575941404638336,29082
720575940604337664,720575941411669888,12245
720575940606892672,720575941405899392,23142
720575940602720896,720575941351552768,14428
720575940606919168,720575941475574016,29520
720575940606920064,720575941414843520,17488
720575940606929280,720575941399183872,25813
720575940606937344,720575941410952320,22152
720575940607054720,720575941457435008,19937
720575940607058688,720575941485272832,15573
720575940607090688,720575941415125248,29474
720575940605077248,720575941393309824,33915
720575940607129216,720575941393133184,18347
720575940607135360,720575941411421056,18447
720575940607154816,720575941450217344,39176
720575940607155584,720575941429210752,16496
720575940606677376,720575941439657472,10182
720575940606579456,720575941450216064,19967
720575940600782208,720575941427943040,11581
720575940607202176,720575941400314624,22303
720575940607228672,720575941431995904,22097
720575940603498624,720575941390734848,22450
720575940604500992,720575941431852032,39930
720575940607230464,720575941408646400,21036
720575940604810496,720575941351775744,21298
720575940604836992,720575941509844480,20236
720575940605444864,720575941438735488,28419
720575940606660736,720575941435509760,31405
720575940607278464,720575941432155264,16070
720575940606292480,720575941441500032,29308
720575940605317632,720575941391307648,16501
720575940605107072,720575941352694272,24673
720575940607320192,720575941391756544,50075
720575940607327104,720575941407510656,29399
720575940607330816,720575941400120320,21725
720575940607331968,720575941430659968,28530
720575940607340544,720575941471871872,22330
720575940604693120,720575941350890496,23346
720575940607368192,720575941353211392,18972
720575940607382144,720575941426705024,23679
720575940605758720,720575941411160704,12871
720575940603568768,720575941391679232,21660
720575940607398144,720575941391465728,20541
720575940607399296,720575941431134848,26023
720575940606608000,720575941400757760,18291
720575940607432960,720575941429219200,31542
720575940607438464,720575941352651520,18576
720575940607446656,720575941507699712,26983
720575940602382336,720575941416530432,10381
720575940607466496,720575941427453824,20256
720575940607469696,720575941435479168,11692
720575940605824640,720575941391410560,14753
720575940603084928,720575941353064192,20343
720575940606051456,720575941399595520,11939
720575940606431872,720575941432097408,25495
720575940607244928,720575941400360704,24350
720575940607521152,720575941428400000,13841
720575940607523456,720575941498114048,40123
720575940604054144,720575941411855488,18024
720575940607594240,720575941436473856,19851
720575940607596800,720575941350396416,23697
720575940606236672,720575941392615936,35725
720575940607673984,720575941427971712,21716
720575940605385728,720575941392807424,20820
720575940604941184,720575941412595584,24335
720575940607707264,720575941351174656,27311
720575940604715776,720575941413378176,23481
720575940604217984,720575941405745408,19604
720575940607734144,720575941430196224,25332
720575940607753728,720575941497607040,20805
720575940607757312,720575941414446464,18908
720575940607775104,720575941392178304,20655
720575940607283456,720575941430931712,30078
720575940607815296,720575941438642816,29313
720575940604624000,720575941351118592,15778
720575940607829120,720575941431318912,14476
720575940606056320,720575941412180352,17830
720575940607845888,720575941394072960,31034
720575940607852800,720575941409107328,45400
720575940607862272,720575941504832256,16358
720575940605404544,720575941411727488,36400
720575940605833088,720575941414066560,23823
720575940604340480,720575941351666176,34480
720575940607321472,720575941447940352,15249
720575940607925120,720575941408949632,27255
720575940607935360,720575941451143808,37655
720575940605184896,720575941391170048,21544
720575940607947904,720575941471307136,46030
720575940605914496,720575941401779968,18067
720575940607968512,720575941414097280,26053
720575940606400000,720575941400369920,30001
720575940604955008,720575941391874048,15652
720575940608013184,720575941460158848,33675
720575940608059520,720575941438368512,32263
720575940608062208,720575941410447232,48683
720575940604863872,720575941391354112,21676
720575940608094720,720575941352611840,15555
720575940608129664,720575941392151552,27041
720575940608148480,720575941479176704,24465
720575940608163840,720575941352631552,21588
720575940607720832,720575941393256448,17745
720575940605522176,720575941433440768,13469
720575940603318272,720575941390723072,15223
720575940605709696,720575941535082496,32878
720575940606721792,720575941537510400,42605
720575940605398144,720575941352911616,103892
720575940603943424,720575941352800768,42324
720575940605686912,720575941393034240,24793
720575940608278272,720575941482094464,20536
720575940603605504,720575941405965440,20107
720575940607657344,720575941391253888,27808
720575940605759744,720575941413081472,18888
720575940608324224,720575941442198528,63673
720575940605289856,720575941440521984,16523
720575940605800320,720575941352460032,45524
720575940608366720,720575941399979264,46446
720575940608370688,720575941408653440,26891
720575940608384896,720575941401994240,18147
720575940603331712,720575941391275776,18136
720575940606915840,720575941429767552,26193
720575940608422784,720575941407189760,22245
720575940604607744,720575941458432384,17809
720575940605166976,720575941402440960,23252
720575940608516096,720575941351688192,33512
720575940605432448,720575941455249152,26563
720575940607107840,720575941430889472,19194
720575940608564992,720575941439489536,19679
720575940608570240,720575941412609664,23288
720575940602831360,720575941410354304,16753
720575940608593408,720575941413300864,46120
720575940608595840,720575941491166464,29796
720575940604714240,720575941430816512,30091
720575940605524224,720575941411715968,30702
720575940603713280,720575941462692480,20493
720575940606372736,720575941433462272,13081
720575940607161088,720575941392965632,24218
720575940608759680,720575941450001536,15033
720575940606650368,720575941393311488,31535
720575940607499008,720575941414239360,16675
720575940606063488,720575941444921216,26182
720575940608803072,720575941414364800,45131
720575940608828416,720575941459195136,43041
720575940608838144,720575941431563776,43480
720575940607014528,720575941652552448,30863
720575940608845312,720575941437608960,13619
720575940608857088,720575941412818304,15949
720575940605029888,720575941433466112,54112
720575940603333760,720575941393486208,19252
720575940608891136,720575941435469696,25193
720575940608911488,720575941409031552,36359
720575940608914048,720575941470084352,25770
720575940608921088,720575941495380992,59471
720575940607098112,720575941429482752,33809
720575940608967040,720575941449112448,44825
720575940607132160,720575941400736000,13949
720575940606549376,720575941479380096,39549
720575940604988544,720575941351343360,20428
720575940609077888,720575941450042496,26273
720575940604023936,720575941430544384,33698
720575940607694464,720575941401861888,26487
720575940603397120,720575941407111168,19516
720575940605796992,720575941401148672,14770
720575940609213440,720575941352533504,19116
720575940608975104,720575941400091648,22713
720575940599797120,720575941408220416,68072
720575940608562176,720575941352187136,23373
720575940605098624,720575941393131648,18434
720575940607087232,720575941408475392,23110
720575940606697856,720575941391244544,19477
720575940609289216,720575941441444224,17688
720575940605105536,720575941410166656,36600
720575940605478784,720575941404911488,39257
720575940606158208,720575941412314496,32660
720575940609360640,720575941457108096,42668
720575940603029504,720575941391460736,35102
720575940609364736,720575941414673536,25853
720575940605937792,720575941403855488,15819
720575940609390720,720575941488422912,28335
720575940609392256,720575941353320448,16699
720575940609392768,720575941547951104,39748
720575940604505216,720575941352900352,19466
720575940606443392,720575941352286464,26328
720575940607111936,720575941412593280,18450
720575940606856448,720575941432771456,16028
720575940609463680,720575941515840896,36892
720575940605183616,720575941403213952,56247
720575940609491456,720575941430840448,17401
720575940604147584,720575941401511680,79144
720575940605974144,720575941413889408,31713
720575940607075200,720575941403217792,49999
720575940608135680,720575941512837504,25001
720575940604836096,720575941392800256,25859
720575940605586560,720575941402754432,21317
720575940605760896,720575941442379136,14977
720575940609641344,720575941441742720,23981
720575940609242880,720575941480073984,32075
720575940609685760,720575941411902592,27696
720575940609714176,720575941436428288,44315
720575940605318912,720575941460195840,13361
720575940609344896,720575941448131072,41952
720575940605476992,720575941444953728,26697
720575940603356928,720575941391988352,41695
720575940609794816,720575941391509888,29013
720575940606715136,720575941391478784,49729
720575940603022336,720575941352726784,13243
720575940609834624,720575941393489792,36204
720575940609841664,720575941572468352,30095
720575940605791232,720575941430909056,23723
720575940608236672,720575941535217152,41180
720575940605353088,720575941424948352,14760
720575940603873024,720575941409751680,22003
720575940609910272,720575941414262400,22024
720575940603472896,720575941408671232,17104
720575940609927168,720575941431073408,25591
720575940604924928,720575941437250816,14288
720575940609966848,720575941483550080,33358
720575940607905536,720575941351664640,19384
720575940610012544,720575941431440128,14798
720575940606763136,720575941431188736,21517
720575940608643200,720575941412915840,15726
720575940605737600,720575941401231872,18793
720575940603687040,720575941430894336,22196
720575940607480960,720575941433014272,19780
720575940610072448,720575941498994560,26807
720575940609481216,720575941412573824,20515
720575940610077312,720575941457631488,17171
720575940606096384,720575941438781952,35974
720575940610112128,720575941450202496,16638
720575940608285568,720575941403522176,27729
720575940610121472,720575941408002432,17672
720575940610123776,720575941494911360,59087
720575940609670784,720575941431369344,14337
720575940604782720,720575941412426368,14824
720575940605157888,720575941394073472,21825
720575940609496832,720575941392115712,23275
720575940605407872,720575941391420160,13917
720575940606850688,720575941435254912,28031
720575940609120768,720575941462784896,26553
720575940604104576,720575941415956480,31734
720575940606497152,720575941430218368,28284
720575940610106496,720575941391758720,35901
720575940606168576,720575941401207040,19439
720575940610238464,720575941350413312,19545
720575940608900096,720575941407781760,34501
720575940606986752,720575941352514304,12127
720575940610291328,720575941439899008,27630
720575940607403264,720575941350568448,26980
720575940604903936,720575941393689728,18085
720575940608671360,720575941390313984,24231
720575940608179328,720575941439657984,16211
720575940605137536,720575941351394048,32233
720575940602923008,720575941392348032,20007
720575940610395392,720575941408307072,14724
720575940610405760,720575941450080384,24203
720575940610418304,720575941580806784,37853
720575940607527040,720575941353247488,12029
720575940610432512,720575941416045568,19372
720575940603745024,720575941351717120,31807
720575940610438656,720575941450415488,22669
720575940610454784,720575941439489792,21697
720575940607304320,720575941351040000,31871
720575940610470016,720575941353267712,18878
720575940605000960,720575941481315584,12487
720575940610480768,720575941391122048,23660
720575940604420864,720575941438235392,27463
720575940606212736,720575941408605056,17487
720575940610489728,720575941430184704,22905
720575940603686656,720575941431458816,22691
720575940603117952,720575941439805056,10334
720575940605645952,720575941427912832,33008
720575940610533632,720575941438499072,14614
720575940609942016,720575941413451136,31413
720575940610580608,720575941478118784,31390
720575940607509888,720575941351893504,28116
720575940610604288,720575941411180160,20363
720575940605001728,720575941392903936,30940
720575940604187648,720575941393625472,18919
720575940608368000,720575941426856832,61795
720575940606198016,720575941391468416,25426
720575940610640384,720575941444913024,20955
720575940606508672,720575941455704320,38146
720575940602917120,720575941414166144,19657
720575940605706112,720575941494699648,30167
720575940605846912,720575941353147392,19897
720575940609956608,720575941408674944,32386
720575940610724864,720575941426935168,28696
720575940610725888,720575941414558336,24374
720575940610758272,720575941407172608,20120
720575940605889280,720575941403576704,25356
720575940609276544,720575941439900288,26124
720575940605847168,720575941437191168,16949
720575940604114560,720575941400710400,32730
720575940605575040,720575941400990976,17824
720575940605929216,720575941391527680,17714
720575940605426560,720575941399323648,28127
720575940604267648,720575941436784896,29188
720575940610897792,720575941449685632,26873
720575940608910080,720575941435404928,16602
720575940610934400,720575941434529280,29105
720575940605620864,720575941353337088,20840
720575940610945664,720575941449491840,31548
720575940602430976,720575941406742400,36527
720575940610961536,720575941414188160,15746
720575940610985472,720575941438839168,20461
720575940609647872,720575941407385344,23551
720575940611007872,720575941412936320,30829
